METAZOA	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
85	nadsonia fulvescens	30.24	30.23	19.47	19.6	0.46
86	nectria haematococca	24.22	24.22	25.78	25.76	0.02
87	neurospora crassa	25.34	25.36	24.63	24.66	0.01
88	neurospora tetrasperma	24.87	24.87	24.3	24.29	1.67
89	nosema ceranae	37.42	37.31	12.65	12.62	0
90	oidiodendron maius	26.33	26.35	23.46	23.46	0.39
91	pachysolen tannophilus	34.38	34.37	14.66	14.7	1.88
92	paxillus rubicundulus	26.01	25.98	23.98	23.97	0.06
93	penicillium chrysogenum	25.47	25.54	24.28	24.32	0.38
94	phaeosphaeria nodorum	24.67	24.69	25.13	25.07	0.44
95	phanerochaete carnosa	21.84	21.81	24.76	24.76	6.83
96	phanerochaete chrysosporium	19.97	19.96	26.28	26.27	7.53
97	phlebia brevispora	22.28	22.34	24.13	24.19	7.07
98	phlebiopsis gigantea	22.24	22.27	26.97	27.04	1.47
99	phycomyces blakesleeanus	31.82	31.72	17.74	17.66	1.06
100	pichia pastoris	29.38	29.48	20.55	20.58	0.01
101	pichia stipitis	29.46	29.4	20.59	20.55	0
102	piloderma croceum	23.73	23.64	20.36	20.45	11.82
103	piriformospora indica	24.48	24.42	25.11	25.15	0.85
104	piromyces sp	23.6	23.51	6.57	6.57	39.75
105	pisolithus microcarpus	22.88	22.79	21.86	21.95	10.52
106	pisolithus tinctorius	22.17	22.13	21.19	21.24	13.27
107	pleurotus ostreatus	24.56	24.5	25.47	25.48	0
108	plicaturopsis crispa	22.4	22.36	25.98	25.95	3.31
109	postia placenta	17.52	17.51	20.44	20.4	24.13
110	puccinia graminis	26.04	26.05	19.94	19.93	8.04
111	punctularia strigosozonata	21.69	21.71	26.65	26.72	3.22
112	pyrenophora teres	24.56	24.52	25.44	25.46	0.02
113	rhizopus oryzae	31.61	31.64	17.49	17.48	1.79
114	rhodotorula graminis	15.97	15.91	33.54	33.46	1.13
115	rhytidhysteron rufulum	25.9	25.9	23.79	23.78	0.64
116	saccharomyces cerevisiae	30.9	30.8	19.13	19.17	0
117	saitoella complicata	23.69	23.64	26.26	26.25	0.17
118	schizophyllum commune	20.98	20.92	28.38	28.3	1.43
119	schizosaccharomyces pombe	31.95	32	18.03	18.02	0
120	scleroderma citrinum	24.14	24.1	22.79	22.87	6.09
121	sclerotinia sclerotiorum	28.82	28.84	20.74	20.77	0.83
122	sebacina vermifera	23.89	23.66	22.72	22.83	6.89
123	septoria musiva	24.03	24.12	25.19	25.18	1.48
124	serpula lacrymans	27.05	27.13	22.47	22.45	0.9
125	setosphaeria turcica	21.55	21.64	22.87	22.87	11.07
126	spathaspora passalidarum	31.04	31.11	18.51	18.57	0.78
127	sphaerobolus stellatus	19.3	19.26	15.38	15.41	30.65
128	spizellomyces punctatus	25.97	25.94	23.61	23.55	0.93
129	sporisorium reilianum	19.66	19.72	29.38	29.41	1.84
130	sporobolomyces roseus	22.76	22.76	26.46	26.45	1.57
131	stagonospora nodorum	24.65	24.67	25.15	25.09	0.44
132	stereum hirsutum	23.89	23.9	25.19	25.16	1.86
133	thielavia terrestris	22.65	22.64	27.35	27.36	0
134	trametes versicolor	20.25	20.26	27.63	27.6	4.26
135	trichoderma citrinoviride	23.59	23.57	25.95	25.98	0.91
136	trichoderma longibrachiatum	22.68	22.65	25.52	25.5	3.65
137	tuber melanosporum	27.26	27.26	22.16	22.19	1.13
138	tulasnella calospora	20.3	20.2	21.41	21.49	16.59
139	ustilago maydis	22.99	23.05	26.97	26.99	0
140	verticillium dahliae	21.45	21.49	27.13	27.19	2.74
141	wickerhamomyces anomalus	31.79	31.69	16.79	16.72	3.01
142	wolfiporia cocos	22.85	22.86	24.93	24.92	4.44
143	xanthoria parietina	24.95	25	24.85	24.89	0.32
144	yarrowia lipolytica	25.48	25.46	24.51	24.54	0.01
145	zasmidium cellare	23.28	23.3	26.64	26.65	0.13
146	zygosaccharomyces rouxii	30.43	30.43	19.56	19.57	0.01
147	zymoseptoria tritici	23.9	23.95	26.05	26.08	0.02
